Indicator Code: CG0730
"Indicator Name: Prostate cancer"
Export date: 11/14/2025 1:58:18 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C61"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1993,Male,Age55_59,[55-59],2.00000000,0.35842294,,3.26797386,
EU,Europe,ALB,Albania,1993,Male,Age60_64,[60-64],11.00000000,1.41935484,,23.50427350,
EU,Europe,ALB,Albania,1993,Male,Age65_69,[65-69],10.00000000,1.42045455,,29.41176471,
EU,Europe,ALB,Albania,1993,Male,Age70_74,[70-74],21.00000000,1.84534271,,91.30434783,
EU,Europe,ALB,Albania,1993,Male,Age75_79,[75-79],10.00000000,1.05374078,,72.99270073,
EU,Europe,ALB,Albania,1993,Male,Age80_84,[80-84],7.00000000,0.77951002,,107.69230769,
EU,Europe,ALB,Albania,1993,Male,Age85_over,[85+],11.00000000,1.33010883,,275.00000000,
EU,Europe,ALB,Albania,1993,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
EU,Europe,ALB,Albania,1994,All,Age_all,[All],91.00000000,0.60731447,3.68160058,2.84197377,
EU,Europe,ALB,Albania,1994,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,All,Age01_04,[1-4],1.00000000,0.12239902,,0.35423309,
EU,Europe,ALB,Albania,1994,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,All,Age10_14,[10-14],1.00000000,0.71942446,,0.29044438,
EU,Europe,ALB,Albania,1994,All,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,All,Age20_24,[20-24],1.00000000,0.37453184,,0.41237113,
EU,Europe,ALB,Albania,1994,All,Age25_29,[25-29],3.00000000,1.14068441,,1.25575555,
